iter	Passed	Remaining
0	141	141594
1	142	71038
2	143	47543
3	143	35777
4	144	28751
5	144	24021
6	145	20679
7	146	18157
8	146	16177
9	147	14607
10	147	13302
11	148	12222
12	149	11320
13	149	10537
14	150	9861
15	150	9269
16	151	8747
17	151	8280
18	152	7868
19	152	7495
20	153	7151
21	153	6840
22	154	6556
23	154	6295
24	155	6058
25	155	5840
26	156	5636
27	156	5445
28	157	5274
29	158	5109
30	158	4956
31	159	4813
32	159	4678
33	160	4549
34	160	4430
35	161	4319
36	161	4214
37	162	4112
38	163	4017
39	163	3928
40	164	3842
41	164	3760
42	165	3684
43	166	3609
44	166	3537
45	167	3468
46	167	3403
47	168	3341
48	169	3280
49	169	3222
50	170	3168
51	170	3116
52	171	3067
53	172	3020
54	173	2972
55	173	2926
56	174	2882
57	174	2838
58	175	2797
59	176	2758
60	176	2720
61	177	2684
62	178	2649
63	178	2615
64	179	2581
65	180	2547
66	180	2515
67	180	2480
68	181	2449
69	182	2419
70	182	2391
71	183	2364
72	184	2336
73	184	2309
74	185	2285
75	185	2260
76	186	2234
77	187	2210
78	187	2187
79	188	2164
80	188	2142
81	189	2120
82	189	2099
83	190	2078
84	191	2056
85	191	2038
86	192	2016
87	192	1997
88	193	1979
89	193	1961
90	194	1943
91	195	1925
92	195	1909
93	196	1893
94	196	1876
95	197	1861
96	198	1845
97	198	1829
98	199	1815
99	200	1800
100	200	1785
101	200	1768
102	201	1754
103	201	1740
104	202	1727
105	203	1713
106	203	1700
107	204	1687
108	204	1674
109	205	1661
110	206	1649
111	206	1638
112	207	1626
113	207	1615
114	208	1603
115	208	1592
116	209	1580
117	209	1569
118	210	1558
119	211	1547
120	211	1537
121	212	1528
122	212	1516
123	213	1505
124	213	1495
125	214	1485
126	214	1476
127	215	1465
128	215	1456
129	216	1447
130	216	1438
131	217	1430
132	218	1421
133	218	1412
134	219	1404
135	219	1396
136	220	1387
137	220	1379
138	221	1371
139	222	1364
140	222	1356
141	223	1350
142	224	1343
143	224	1336
144	225	1329
145	226	1322
146	226	1314
147	227	1308
148	227	1301
149	228	1294
150	229	1288
151	229	1281
152	230	1275
153	230	1268
154	231	1261
155	232	1255
156	232	1249
157	233	1242
158	233	1236
159	234	1230
160	234	1224
161	235	1219
162	236	1213
163	236	1207
164	237	1201
165	238	1196
166	238	1191
167	239	1185
168	240	1180
169	240	1174
170	241	1169
171	241	1163
172	242	1158
173	242	1153
174	243	1147
175	244	1142
176	244	1137
177	245	1132
178	245	1127
179	246	1122
180	246	1116
181	247	1110
182	247	1105
183	248	1100
184	248	1096
185	249	1091
186	249	1086
187	250	1081
188	251	1077
189	251	1072
190	252	1068
191	252	1064
192	253	1060
193	254	1056
194	254	1052
195	255	1048
196	256	1043
197	256	1039
198	257	1034
199	257	1030
200	258	1026
201	258	1022
202	259	1018
203	259	1014
204	260	1010
205	261	1006
206	261	1002
207	262	998
208	262	994
209	263	990
210	263	987
211	264	983
212	265	979
213	265	975
214	266	972
215	266	968
216	267	965
217	268	962
218	268	958
219	269	955
220	270	952
221	270	949
222	271	946
223	272	942
224	272	939
225	273	935
226	273	932
227	274	929
228	274	925
229	275	922
230	276	919
231	276	915
232	277	912
233	277	909
234	278	906
235	279	903
236	279	900
237	280	897
238	280	894
239	281	891
240	282	888
241	282	885
242	283	882
243	283	879
244	284	876
245	285	873
246	285	871
247	286	868
248	287	865
249	287	862
250	288	860
251	288	857
252	289	854
253	290	852
254	290	848
255	291	846
256	291	843
257	292	840
258	292	837
259	293	834
260	294	832
261	294	829
262	295	826
263	295	824
264	296	821
265	296	819
266	297	816
267	298	813
268	298	811
269	299	809
270	299	806
271	300	804
272	301	802
273	301	799
274	302	797
275	302	794
276	303	792
277	304	789
278	304	787
279	305	784
280	305	782
281	306	780
282	307	778
283	307	776
284	308	774
285	309	771
286	309	769
287	310	767
288	311	765
289	311	763
290	312	761
291	313	759
292	313	757
293	314	755
294	315	753
295	316	751
296	316	749
297	317	747
298	318	745
299	318	743
300	319	741
301	319	739
302	320	737
303	321	735
304	321	733
305	322	731
306	323	729
307	323	726
308	324	724
309	324	722
310	325	720
311	325	718
312	326	716
313	327	714
314	327	712
315	328	711
316	329	709
317	330	708
318	330	706
319	331	704
320	332	702
321	332	700
322	333	698
323	334	697
324	334	695
325	335	693
326	335	691
327	336	689
328	337	687
329	337	685
330	338	683
331	338	682
332	339	680
333	340	678
334	340	676
335	341	674
336	342	673
337	342	671
338	343	669
339	344	668
340	345	666
341	345	665
342	346	663
343	347	661
344	347	660
345	348	658
346	348	656
347	349	654
348	350	653
349	350	651
350	351	649
351	352	648
352	352	646
353	353	644
354	353	643
355	354	641
356	355	639
357	355	638
358	356	636
359	357	635
360	358	633
361	358	632
362	359	631
363	360	630
364	361	628
365	361	627
366	362	625
367	363	623
368	363	622
369	364	620
370	365	619
371	365	617
372	366	616
373	367	614
374	367	612
375	368	611
376	368	609
377	369	608
378	370	606
379	370	605
380	371	603
381	372	602
382	372	600
383	373	599
384	374	598
385	375	596
386	375	595
387	376	594
388	377	592
389	377	591
390	378	589
391	379	588
392	379	586
393	380	585
394	380	583
395	381	581
396	382	580
397	382	578
398	383	577
399	384	576
400	384	574
401	385	573
402	385	571
403	386	570
404	387	568
405	387	567
406	388	566
407	389	564
408	390	563
409	390	562
410	391	561
411	392	559
412	392	558
413	393	556
414	394	555
415	394	554
416	395	552
417	395	551
418	396	549
419	397	548
420	397	547
421	398	546
422	399	544
423	399	543
424	400	541
425	401	540
426	401	539
427	402	537
428	403	536
429	403	535
430	404	534
431	405	533
432	406	531
433	406	530
434	407	529
435	407	527
436	408	526
437	409	524
438	409	523
439	410	522
440	410	520
441	411	519
442	412	518
443	412	517
444	413	515
445	414	514
446	414	513
447	415	511
448	416	510
449	416	509
450	417	508
451	418	506
452	418	505
453	419	504
454	420	503
455	420	502
456	421	501
457	422	499
458	422	498
459	423	497
460	424	495
461	424	494
462	425	493
463	426	492
464	426	491
465	427	489
466	428	488
467	428	487
468	429	486
469	429	484
470	430	483
471	431	482
472	431	480
473	432	479
474	432	478
475	433	477
476	434	476
477	434	474
478	435	473
479	436	472
480	437	471
481	437	470
482	438	469
483	438	468
484	439	466
485	440	465
486	440	464
487	441	463
488	441	461
489	442	460
490	443	459
491	443	458
492	444	457
493	445	455
494	445	454
495	446	453
496	447	452
497	447	451
498	448	450
499	449	449
500	450	448
501	450	447
502	451	446
503	452	444
504	452	443
505	453	442
506	454	441
507	454	440
508	455	439
509	455	438
510	456	436
511	457	435
512	457	434
513	458	433
514	459	432
515	459	431
516	460	430
517	460	428
518	461	427
519	462	426
520	462	425
521	463	424
522	464	423
523	464	422
524	465	421
525	466	420
526	466	418
527	467	417
528	467	416
529	468	415
530	469	414
531	469	413
532	470	412
533	471	411
534	471	409
535	472	408
536	472	407
537	473	406
538	474	405
539	474	404
540	475	403
541	475	402
542	476	400
543	477	399
544	477	398
545	478	397
546	478	396
547	479	395
548	480	394
549	480	393
550	481	392
551	481	391
552	482	390
553	483	388
554	483	387
555	484	386
556	485	385
557	485	384
558	486	383
